price,area,bathroom,bhk,balconies
0.120817843866171,0.03333333333333333,0.3333333333333333,0.375,0.125
0.10148698884758364,0.028333333333333335,0.3333333333333333,0.375,0.125
0.015559851301115242,0.014533333333333334,0.2222222222222222,0.25,0.0
0.026284014869888475,0.024550000000000002,0.3333333333333333,0.375,0.0
0.03322527881040892,0.031033333333333336,0.3333333333333333,0.375,0.0
0.011866171003717473,0.011083333333333334,0.1111111111111111,0.125,0.0
0.01719299628252788,0.014733333333333334,0.2222222222222222,0.25,0.0
0.011313011152416357,0.010566666666666667,0.1111111111111111,0.125,0.0
0.015559851301115242,0.014533333333333334,0.1111111111111111,0.125,0.0
0.018860966542750927,0.017616666666666666,0.2222222222222222,0.25,0.0
0.021341263940520445,0.019933333333333334,0.3333333333333333,0.375,0.0
0.029388847583643123,0.027450000000000002,0.3333333333333333,0.375,0.0
0.024417286245353158,0.019583333333333335,0.2222222222222222,0.25,0.0
0.013526115241635687,0.010916666666666667,0.1111111111111111,0.125,0.0
0.020173234200743493,0.021033333333333334,0.3333333333333333,0.375,0.0
0.0241635687732342,0.007850000000000001,0.1111111111111111,0.25,0.0
0.03274349442379182,0.024466666666666668,0.2222222222222222,0.25,0.0
0.030713754646840147,0.02295,0.3333333333333333,0.375,0.0
0.030713754646840147,0.02295,0.3333333333333333,0.375,0.0
0.03593308550185873,0.026850000000000002,0.3333333333333333,0.375,0.0
0.02768810408921933,0.02035,0.2222222222222222,0.25,0.0
0.03786988847583643,0.027833333333333335,0.3333333333333333,0.375,0.0
0.028290148698884757,0.021316666666666668,0.2222222222222222,0.25,0.0
0.040256505576208176,0.030333333333333334,0.3333333333333333,0.375,0.0
0.011813665427509293,0.011266666666666668,0.1111111111111111,0.125,0.0
0.01919888475836431,0.018333333333333333,0.2222222222222222,0.25,0.25
0.02300192936802974,0.0,0.2222222222222222,0.25,0.125
0.01644981412639405,0.010916666666666667,0.2222222222222222,0.25,0.0
